x,rho
0,0.004525647
0.173608404,0.00719742
0.728500278,0.004501881
1.671704632,0.034012792
3.031087219,0.058146443
3.669214194,0.055449246
5.111811369,0.084950332
7.109464702,0.063434288
8.589100491,0.058615856
9.169800734,0.057297609
10.62828727,0.058575233
12.0462558,0.061160403
12.69447399,0.061147489
14.1113913,0.059082216
16.09732302,0.084383327
26.67907519,0.785644501
26.63369701,0.695774189
26.82729143,0.876556936
26.86583449,0.92712528
26.90425218,1.015152172
27.15561094,1.097556117
27.11656007,1.198695119
27.2905112,1.275481816
27.46442471,1.363506008
27.46411126,1.457152547
27.48379698,1.552624119
27.56299402,1.652665478
27.64214318,1.76809837
27.60191175,1.906620323
27.72070913,2.056682537
27.83955802,2.19135357
27.71975605,2.341420538
27.71929239,2.479941698
27.83802537,2.649242845
27.83751019,2.803155364
27.83703365,2.945524276
27.95581815,3.099434241
27.9950965,3.245650289
28.07407459,3.411104565
27.9940919,3.54577947
27.99355097,3.707387491
28.02431731,3.854834348
28.15234725,4.004072122
28.15174364,4.184404003
28.21551177,4.333643058
28.21501224,4.482883393
28.21432537,4.688088853
28.27781704,4.918166612
28.27713017,5.123372072
28.46926127,5.322355155
28.5330086,5.477812746
28.59675592,5.633270053
28.66043492,5.807382402
28.78849155,5.950401924
28.85217055,6.124514272
28.98016474,6.286188836
28.97968602,6.429210918
29.10775758,6.566011903
29.17144246,6.740124252
29.04234512,6.908022331
30.58584936,7.704731501
31.43050006,7.689580657
32.0249809,7.650220533
32.71343504,7.571510118
33.43312382,7.507933099
33.84000408,7.441335564
34.43458624,7.371707402
35.49884656,7.165864138
35.96843353,7.056890186
36.46932035,6.941862114
37.09540783,6.805643895
37.37735657,6.681539524
29.74194837,7.495899502
29.36779647,7.129664745
29.36821185,7.00556626
29.49226482,7.326403945
30.05434877,7.619991755
37.63277204,6.595711987
38.02120682,6.455783451
38.44509522,6.261251043
38.97474725,6.08036728
39.43386081,5.899485079
39.75180281,5.745907195
40.06956205,5.64693248
40.4932791,5.503590592
41.09338964,5.346594437
41.48174446,5.230554759
44.23461287,4.880849607
42.67013298,5.001952502
45.9983466,4.704336078
50.06135436,4.409662424
50.66151186,4.377810713
54.92647359,4.555858915
55.14759288,4.658235896
55.29500308,4.727280749
55.46697994,4.808230062
55.54056151,4.879657419
55.73707428,4.982034782
55.78606415,5.048700726
56.08089252,5.184409617
56.24041312,5.252470354
57.45885554,5.555860798
58.9317698,5.010808758
58.56337756,5.196236175
58.83484389,5.053888109
58.69913491,5.117570407
59.0674537,4.954618152
59.14525002,4.844113785
59.24221354,4.789796852
59.3779664,4.713003986
59.59955796,4.603211744
59.59979098,4.533595423
59.75644202,4.460949237
59.91319438,4.358035152
60.03862378,4.267228823
60.28919019,4.173393252
60.28949413,4.082589415
60.54005912,3.988753705
60.60293806,3.894921874
60.85350305,3.801086303
61.10406803,3.707250593
61.35463588,3.613415023
61.48000305,3.54076946
61.79305186,3.471146907
58.31014357,5.268253171
61.83713497,3.428770808
62.08341067,3.366860885
62.13284797,3.300193035
62.3791396,3.233521263
62.57620228,3.17161232
62.77332074,3.093036688
63.14270297,3.009695666
63.51204535,2.938259484
64.02912468,2.838248831
64.86626962,2.6858507
65.64076207,2.605816641
66.37662139,2.512155448
66.95758483,2.43160791
67.59654243,2.373534377
68.68076164,2.296722615
71.5459763,2.159941668
72.14613202,2.128089872
73.59804223,2.075618934
75.63067138,2.015644564
77.08250009,1.987521691
77.66316888,1.9950019
79.15363647,1.989353418
81.12790588,1.993076461
82.55580304,1.997799355
83.18872974,1.991451578
84.6072775,2.001981964
86.02580405,2.01884752
86.72409071,2.046285972
88.09894702,2.069487566
91.94893978,2.207325978
93.6676474,2.236640888
95.4871698,2.354001238
96.85156601,2.515394379
97.6094875,2.627884427
90.07874802,2.124207461
